artifact_type,machine,descriptor_id,model,seed,train_precision,checkpoint_role,source_path,mirror_path,sha256,mirror_sha256,hash_kind,mirror_status
checkpoint,3090,3090-flash-s124-fp16,flash,124,fp16,best,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260726-01-mqar-precision-profile/outputs/machines/3090/checkpoints/formal/20260726-01-mqar-precision-profile-3090-formal/flash-s124-fp16-b64ga4-formal/best.pt,,5503080628dfb95ea42eed3db7248bc80a2e82c1f7bcae1c5af29441aa3a0a11,,file_sha256,large_raw_retained_on_source_machine
checkpoint,3090,3090-gdn-s125-fp16,gdn,125,fp16,last,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260726-01-mqar-precision-profile/outputs/machines/3090/checkpoints/formal/20260726-01-mqar-precision-profile-3090-formal/gdn-s125-fp16-b64ga4-formal/last.pt,,d12ffc9a70d578aed1d4bca95b402c10bfcfb3e527a62b3a1bc80a5b7455fbdd,,file_sha256,large_raw_retained_on_source_machine
checkpoint,3090,3090-gdn-s125-fp16,gdn,125,fp16,best,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260726-01-mqar-precision-profile/outputs/machines/3090/checkpoints/formal/20260726-01-mqar-precision-profile-3090-formal/gdn-s125-fp16-b64ga4-formal/best.pt,,7665faf0a4e91a31aa3448e1ede204bc8d54c6ab55bd28e59428b52d36d0fff6,,file_sha256,large_raw_retained_on_source_machine
checkpoint,3090,3090-flash-s125-fp16,flash,125,fp16,last,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260726-01-mqar-precision-profile/outputs/machines/3090/checkpoints/formal/20260726-01-mqar-precision-profile-3090-formal/flash-s125-fp16-b64ga4-formal/last.pt,,a746d4bd7f2e790e84dbc7e2f6f8ffb25b0e43d2280f5ec14c19ab9a84fb83cf,,file_sha256,large_raw_retained_on_source_machine
checkpoint,3090,3090-flash-s125-fp16,flash,125,fp16,best,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260726-01-mqar-precision-profile/outputs/machines/3090/checkpoints/formal/20260726-01-mqar-precision-profile-3090-formal/flash-s125-fp16-b64ga4-formal/best.pt,,0049c7da397b12c0e1f2dce1a3f3cfc21b0076ab9bf8ed2e5f11b0f766fdd141,,file_sha256,large_raw_retained_on_source_machine
checkpoint,3090,3090-gdn-s123-bf16,gdn,123,bf16,last,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260726-01-mqar-precision-profile/outputs/machines/3090/checkpoints/formal/20260726-01-mqar-precision-profile-3090-formal/gdn-s123-bf16-b64ga4-formal/last.pt,,8804c980af86d44aac028be05d3d2ae3d27f086fe14ad40aa0bc1aa76ba41aeb,,file_sha256,large_raw_retained_on_source_machine
checkpoint,3090,3090-gdn-s123-bf16,gdn,123,bf16,best,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260726-01-mqar-precision-profile/outputs/machines/3090/checkpoints/formal/20260726-01-mqar-precision-profile-3090-formal/gdn-s123-bf16-b64ga4-formal/best.pt,,9f3ea9d90e58cea23017e76a2df9bd095b4758dc07768c10678a94b3808f0fab,,file_sha256,large_raw_retained_on_source_machine
checkpoint,3090,3090-flash-s123-bf16,flash,123,bf16,last,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260726-01-mqar-precision-profile/outputs/machines/3090/checkpoints/formal/20260726-01-mqar-precision-profile-3090-formal/flash-s123-bf16-b64ga4-formal/last.pt,,460574a2e3f7a14936684db037f6cb130c006e27852decc30c4d2bb92d086d96,,file_sha256,large_raw_retained_on_source_machine
checkpoint,3090,3090-flash-s123-bf16,flash,123,bf16,best,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260726-01-mqar-precision-profile/outputs/machines/3090/checkpoints/formal/20260726-01-mqar-precision-profile-3090-formal/flash-s123-bf16-b64ga4-formal/best.pt,,99e86d4a2a4de7356ba167b5487b1f7298c263e4d5eef1c7f545d3a37a99fb9d,,file_sha256,large_raw_retained_on_source_machine
checkpoint,3090,3090-gdn-s124-bf16,gdn,124,bf16,last,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260726-01-mqar-precision-profile/outputs/machines/3090/checkpoints/formal/20260726-01-mqar-precision-profile-3090-formal/gdn-s124-bf16-b64ga4-formal/last.pt,,5f9b22da892616c8615e5cceed696e9f1c6e07f5ad15925c46f51eb65cfa2d91,,file_sha256,large_raw_retained_on_source_machine
checkpoint,3090,3090-gdn-s124-bf16,gdn,124,bf16,best,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260726-01-mqar-precision-profile/outputs/machines/3090/checkpoints/formal/20260726-01-mqar-precision-profile-3090-formal/gdn-s124-bf16-b64ga4-formal/best.pt,,958c8016fd6f748343d14b6f7cdb90c5642f18912bbe0526ac888b1c86079deb,,file_sha256,large_raw_retained_on_source_machine
checkpoint,3090,3090-flash-s124-bf16,flash,124,bf16,last,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260726-01-mqar-precision-profile/outputs/machines/3090/checkpoints/formal/20260726-01-mqar-precision-profile-3090-formal/flash-s124-bf16-b64ga4-formal/last.pt,,05f313e446fb14d8c9f60dd11d1fdf014b58713cf41030886094e6a9fdfdc967,,file_sha256,large_raw_retained_on_source_machine
