target,machine,layer_idx,head_idx,code_idx,records,share_of_target_machine_events,update_norm_max,update_norm_p95,actual_cap_hit_ratio,hypothetical_cap_hit_ratio
baseline-r2,3090,1,0,24,3,0.0006996268656716418,0.17423896491527557,0.17423896491527557,0.0,0.0
baseline-r2,3090,1,0,43,3,0.0006996268656716418,0.1755496710538864,0.1755496710538864,0.0,0.0
baseline-r2,3090,1,0,47,3,0.0006996268656716418,0.1628061681985855,0.1628061681985855,0.0,0.0
baseline-r2,3090,1,0,53,3,0.0006996268656716418,0.17766472697257996,0.17766472697257996,0.0,0.0
baseline-r2,3090,1,0,61,3,0.0006996268656716418,0.1665073186159134,0.1665073186159134,0.0,0.0
baseline-r2,3090,1,1,0,3,0.0006996268656716418,0.16910125315189362,0.16910125315189362,0.0,0.0
baseline-r2,3090,1,1,1,3,0.0006996268656716418,0.19349083304405212,0.19349083304405212,0.0,0.0
baseline-r2,3090,1,1,16,3,0.0006996268656716418,0.18126972019672394,0.18126972019672394,0.0,0.0
baseline-r2,3090,1,1,17,3,0.0006996268656716418,0.19073721766471863,0.19073721766471863,0.0,0.0
baseline-r2,3090,1,1,21,3,0.0006996268656716418,0.17331360280513763,0.17331360280513763,0.0,0.0
baseline-r2,3090,1,1,42,3,0.0006996268656716418,0.19736020267009735,0.19736020267009735,0.0,0.0
baseline-r2,3090,1,1,59,3,0.0006996268656716418,0.17940261960029602,0.17940261960029602,0.0,0.0
baseline-r2,3090,1,1,60,3,0.0006996268656716418,0.1954759955406189,0.1954759955406189,0.0,0.0
baseline-r2,3090,1,0,13,2,0.0004664179104477612,0.16681860387325287,0.16681860387325287,0.0,0.0
baseline-r2,3090,1,0,26,2,0.0004664179104477612,0.18528899550437927,0.18528899550437927,0.0,0.0
baseline-r2,3090,1,0,46,2,0.0004664179104477612,0.17694596946239471,0.17694596946239471,0.0,0.0
baseline-r2,3090,1,0,54,2,0.0004664179104477612,0.19199253618717194,0.19199253618717194,0.0,0.0
baseline-r2,3090,1,0,56,2,0.0004664179104477612,0.19395406544208527,0.19395406544208527,0.0,0.0
baseline-r2,3090,1,1,3,2,0.0004664179104477612,0.18171541392803192,0.18171541392803192,0.0,0.0
baseline-r2,3090,1,1,4,2,0.0004664179104477612,0.16707223653793335,0.16707223653793335,0.0,0.0
baseline-r2,3090,1,1,14,2,0.0004664179104477612,0.1823318600654602,0.1823318600654602,0.0,0.0
baseline-r2,3090,1,1,27,2,0.0004664179104477612,0.16159822046756744,0.16159822046756744,0.0,0.0
baseline-r2,3090,1,1,44,2,0.0004664179104477612,0.20236800611019135,0.20236800611019135,0.0,0.0
baseline-r2,3090,1,0,2,1,0.0002332089552238806,0.17502710223197937,0.17502710223197937,0.0,0.0
baseline-r2,3090,1,0,10,1,0.0002332089552238806,0.1557367444038391,0.1557367444038391,0.0,0.0
baseline-r2,3090,1,0,11,1,0.0002332089552238806,0.15840044617652893,0.15840044617652893,0.0,0.0
baseline-r2,3090,1,0,18,1,0.0002332089552238806,0.1843346655368805,0.1843346655368805,0.0,0.0
baseline-r2,3090,1,1,2,1,0.0002332089552238806,0.15212887525558472,0.15212887525558472,0.0,0.0
baseline-r2,3090,1,1,15,1,0.0002332089552238806,0.16813798248767853,0.16813798248767853,0.0,0.0
baseline-r2,3090,1,1,25,1,0.0002332089552238806,0.16457977890968323,0.16457977890968323,0.0,0.0
baseline-r2,3090,1,1,31,1,0.0002332089552238806,0.15965546667575836,0.15965546667575836,0.0,0.0
baseline-r2,3090,1,1,40,1,0.0002332089552238806,0.17349892854690552,0.17349892854690552,0.0,0.0
baseline-r2,3090,1,1,43,1,0.0002332089552238806,0.19095487892627716,0.19095487892627716,0.0,0.0
baseline-r2,3090,1,1,46,1,0.0002332089552238806,0.2055681049823761,0.2055681049823761,0.0,0.0
baseline-r2,3090,1,1,54,1,0.0002332089552238806,0.17220818996429443,0.17220818996429443,0.0,0.0
ucap0p5-r2,2080ti,1,1,50,1447,0.3374533582089552,1.1736143827438354,0.5310254693031311,0.10297166551485833,0.10297166551485833
ucap0p5-r2,2080ti,1,0,39,1361,0.31739738805970147,2.4678955078125,2.0097930431365967,0.2828802351212344,0.2828802351212344
ucap0p5-r2,2080ti,1,0,32,72,0.016791044776119403,0.2141815721988678,0.20507965981960297,0.0,0.0
ucap0p5-r2,2080ti,1,1,52,58,0.013526119402985074,0.2262127846479416,0.21730874478816986,0.0,0.0
ucap0p5-r2,2080ti,1,1,11,57,0.013292910447761194,0.2516811490058899,0.2123953402042389,0.0,0.0
ucap0p5-r2,2080ti,1,1,30,47,0.010960820895522388,0.20397727191448212,0.20004205405712128,0.0,0.0
ucap0p5-r2,2080ti,1,0,29,46,0.010727611940298507,0.21613763272762299,0.21505123376846313,0.0,0.0
ucap0p5-r2,2080ti,1,0,59,45,0.010494402985074628,0.2301320731639862,0.2226966917514801,0.0,0.0
ucap0p5-r2,2080ti,1,0,34,42,0.009794776119402986,0.1999853402376175,0.19973808526992798,0.0,0.0
ucap0p5-r2,2080ti,1,0,30,38,0.008861940298507462,0.20938564836978912,0.1942652463912964,0.0,0.0
ucap0p5-r2,2080ti,1,0,48,38,0.008861940298507462,0.2317468523979187,0.21420402824878693,0.0,0.0
ucap0p5-r2,2080ti,1,1,19,38,0.008861940298507462,0.25057029724121094,0.2033805251121521,0.0,0.0
ucap0p5-r2,2080ti,1,0,5,36,0.008395522388059701,0.22527624666690826,0.20484228432178497,0.0,0.0
ucap0p5-r2,2080ti,1,1,49,36,0.008395522388059701,0.22252905368804932,0.20754408836364746,0.0,0.0
ucap0p5-r2,2080ti,1,0,1,33,0.007695895522388059,0.2104632705450058,0.18670468032360077,0.0,0.0
ucap0p5-r2,2080ti,1,0,41,31,0.0072294776119402986,0.1956891268491745,0.19293680787086487,0.0,0.0
ucap0p5-r2,2080ti,1,1,23,28,0.0065298507462686565,0.20454497635364532,0.20069551467895508,0.0,0.0
ucap0p5-r2,2080ti,1,0,33,24,0.005597014925373134,0.20530132949352264,0.20476563274860382,0.0,0.0
ucap0p5-r2,2080ti,1,1,35,24,0.005597014925373134,0.21929703652858734,0.19526924192905426,0.0,0.0
ucap0p5-r2,2080ti,1,0,8,23,0.005363805970149254,0.21269185841083527,0.2062099426984787,0.0,0.0
ucap0p5-r2,2080ti,1,0,37,23,0.005363805970149254,0.22751964628696442,0.20366957783699036,0.0,0.0
ucap0p5-r2,2080ti,1,0,52,23,0.005363805970149254,0.1924770176410675,0.19239108264446259,0.0,0.0
ucap0p5-r2,2080ti,1,0,62,23,0.005363805970149254,0.23184289038181305,0.20092448592185974,0.0,0.0
ucap0p5-r2,2080ti,1,1,41,23,0.005363805970149254,0.2379445880651474,0.23399700224399567,0.0,0.0
ucap0p5-r2,2080ti,1,0,57,22,0.005130597014925373,0.1945621818304062,0.19268304109573364,0.0,0.0
ucap0p5-r2,2080ti,1,1,12,22,0.005130597014925373,0.2186877429485321,0.21853286027908325,0.0,0.0
ucap0p5-r2,2080ti,1,0,42,20,0.0046641791044776115,0.20707231760025024,0.20035119354724884,0.0,0.0
ucap0p5-r2,2080ti,1,0,23,19,0.004430970149253731,0.19232846796512604,0.18317227065563202,0.0,0.0
ucap0p5-r2,2080ti,1,0,36,18,0.004197761194029851,0.2110631912946701,0.19632966816425323,0.0,0.0
ucap0p5-r2,2080ti,1,1,33,18,0.004197761194029851,0.24953997135162354,0.24328398704528809,0.0,0.0
ucap0p5-r2,2080ti,1,1,53,18,0.004197761194029851,0.20090673863887787,0.18982842564582825,0.0,0.0
ucap0p5-r2,2080ti,1,1,55,18,0.004197761194029851,0.21106334030628204,0.20392607152462006,0.0,0.0
ucap0p5-r2,2080ti,1,0,44,16,0.0037313432835820895,0.20333993434906006,0.18808779120445251,0.0,0.0
ucap0p5-r2,2080ti,1,1,20,16,0.0037313432835820895,0.1936691403388977,0.19190970063209534,0.0,0.0
ucap0p5-r2,2080ti,1,0,15,14,0.0032649253731343282,0.1858658343553543,0.1780487596988678,0.0,0.0
ucap0p5-r2,2080ti,1,1,22,14,0.0032649253731343282,0.20078058540821075,0.18869952857494354,0.0,0.0
ucap0p5-r2,2080ti,1,1,56,14,0.0032649253731343282,0.17818108201026917,0.17633056640625,0.0,0.0
ucap0p5-r2,2080ti,1,0,9,13,0.003031716417910448,0.22190049290657043,0.1860533505678177,0.0,0.0
