abs_l2_norm_gap,abs_mean_gap,candidate_l2_norm,candidate_mean,candidate_sample,candidate_sha256,dtype_match,layer_idx,micro_step,optimizer_step,ref_l2_norm,ref_mean,ref_sample,ref_sha256,sha256_match,shape_match,trace_name,variant
0.0,4.656612873077393e-10,26.066112518310547,0.006430355366319418,"[0.07940109074115753,0.039708636701107025,-0.07384831458330154,-0.08339323848485947,-0.009571666829288006,-0.07319962978363037,0.1329384446144104,-0.10811452567577362]",664ccac95987e7f6286abe1f8dafa7cf1f3d33a85ae941a93558551d58460832,True,1,0,0,26.066112518310547,0.006430355831980705,"[0.07940109074115753,0.039708636701107025,-0.07384831458330154,-0.08339323848485947,-0.009571666829288006,-0.07319962978363037,0.1329384446144104,-0.10811452567577362]",664ccac95987e7f6286abe1f8dafa7cf1f3d33a85ae941a93558551d58460832,True,True,output_proj/O_heads,constant-logf-f0.95
0.0,0.0,83.50093078613281,0.002357813064008951,"[-0.19990679621696472,-0.00010660163388820365,-0.1854211390018463,0.040087029337882996,-0.004327393602579832,-0.012505988590419292,0.2003031075000763,0.19611649215221405]",e771007262ff5f51c477d7e815db59cd445890db3d27052693ea0a8b77cae26f,True,1,0,0,83.50093078613281,0.002357813064008951,"[-0.19990679621696472,-0.00010660163388820365,-0.1854211390018463,0.040087029337882996,-0.004327393602579832,-0.012505988590419292,0.2003031075000763,0.19611649215221405]",e771007262ff5f51c477d7e815db59cd445890db3d27052693ea0a8b77cae26f,True,True,output_proj/o_heads,constant-logf-f0.95
0.0,2.9103830456733704e-11,18.86492156982422,-0.00013506444520317018,"[0.03996148332953453,-0.0033638705499470234,0.012420875951647758,0.04953775182366371,0.013684508390724659,0.001448249677196145,0.00022671140322927386,0.010053996928036213]",dfcc62f311d21112bcce5da79a8be11494d9e46ad0deb17737689e66e60ef602,True,1,0,0,18.86492156982422,-0.00013506441609933972,"[0.03996148332953453,-0.0033638705499470234,0.012420875951647758,0.04953775182366371,0.013684508390724659,0.001448249677196145,0.00022671140322927386,0.010053996928036213]",dfcc62f311d21112bcce5da79a8be11494d9e46ad0deb17737689e66e60ef602,True,True,output_proj/res,constant-logf-f0.95
0.0,0.0,1318.94287109375,0.0002453414781484753,"[-0.3174777626991272,-0.15193472802639008,0.16587187349796295,0.04986667260527611,-0.08510883152484894,-0.003580532968044281,-0.0306699275970459,0.2924538850784302]",12f03becb71180fed2be56646e547adf52d56b5958a89192aaab7b575836fdcf,True,,0,0,1318.94287109375,0.0002453414781484753,"[-0.3174777626991272,-0.15193472802639008,0.16587187349796295,0.04986667260527611,-0.08510883152484894,-0.003580532968044281,-0.0306699275970459,0.2924538850784302]",12f03becb71180fed2be56646e547adf52d56b5958a89192aaab7b575836fdcf,True,True,forward/logits,constant-logf-f0.95
,,,,,d8ddeb731d5304875c304e1a27f22f52981e5e38d0995ec69bb6311ca8656683,True,,0,0,,,,d8ddeb731d5304875c304e1a27f22f52981e5e38d0995ec69bb6311ca8656683,True,True,forward/preds,constant-logf-f0.95
0.0,0.0,10.871883392333984,10.871883392333984,[10.871883392333984],10.8718833923,True,,0,0,10.871883392333984,10.871883392333984,[10.871883392333984],10.8718833923,True,True,forward/loss,constant-logf-f0.95
6.103515625e-05,3.710738383233547e-10,1023.8931274414062,4.6437686251010746e-05,"[-0.19604921340942383,-1.513845443725586,-0.6157853007316589,-0.5642658472061157,-0.24379082024097443,-0.1525067239999771,-1.6144987344741821,0.43811753392219543]",60c71a0ffd1b46c987158fe44ea8cbeefe74a4ec54e3faf74011219b8162bde9,True,1,4,1,1023.8931884765625,4.643731517717242e-05,"[-0.19604918360710144,-1.5138453245162964,-0.6157851815223694,-0.564265787601471,-0.24379079043865204,-0.15250669419765472,-1.6144986152648926,0.4381175935268402]",c8ba02cc93eff6c174491fd29b4e4321fa50f73f1bd510a304327998f6db6693,False,True,fox_gate/input_x,constant-logf-f0.95
0.0,0.0,6.565566062927246,-0.05129330977797508,"[-0.05129329487681389,-0.05129329487681389,-0.05129329487681389,-0.05129329487681389,-0.05129329487681389,-0.05129329487681389,-0.05129329487681389,-0.05129329487681389]",a1ce14669750c08a9a13461efcef361d9e820c9631c0eeb78e7d2ea209ea5641,True,1,4,1,6.565566062927246,-0.05129330977797508,"[-0.05129329487681389,-0.05129329487681389,-0.05129329487681389,-0.05129329487681389,-0.05129329487681389,-0.05129329487681389,-0.05129329487681389,-0.05129329487681389]",a1ce14669750c08a9a13461efcef361d9e820c9631c0eeb78e7d2ea209ea5641,True,True,fox_gate/logf_cuda,constant-logf-f0.95
0.0,0.0,6.565566062927246,-0.05129330977797508,"[-0.05129329438755058,-0.05129329438755058,-0.05129329438755058,-0.05129329438755058,-0.05129329438755058,-0.05129329438755058,-0.05129329438755058,-0.05129329438755058]",c15d8d1841fc3bc4945d409e26f940e1e43f8f241ed799515dc4549808420257,True,1,4,1,6.565566062927246,-0.05129330977797508,"[-0.05129329438755058,-0.05129329438755058,-0.05129329438755058,-0.05129329438755058,-0.05129329438755058,-0.05129329438755058,-0.05129329438755058,-0.05129329438755058]",c15d8d1841fc3bc4945d409e26f940e1e43f8f241ed799515dc4549808420257,True,True,fox_gate/logf_ref_fp64_cpu,constant-logf-f0.95
0.0,0.0,362.0312805175781,0.0012356466613709927,"[-0.1611461490392685,0.15211650729179382,-0.13894295692443848,-0.28052133321762085,0.2161729782819748,0.5074292421340942,0.16693682968616486,-0.31264132261276245]",ff5c04ff8d787aa9ba7ce26b17d681764e472000e6d8db418a01e1cb3c1589a0,True,1,4,1,362.0312805175781,0.0012356466613709927,"[-0.16114623844623566,0.15211652219295502,-0.13894297182559967,-0.28052136301994324,0.21617290377616882,0.5074292421340942,0.16693714261054993,-0.31264108419418335]",6dcf6df6ba1203b35a07f177eee0fc577217031da844bfa1bd286c69161e3ad3,False,True,phase1/q_all,constant-logf-f0.95
