-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
autograd::engine::evaluate_function: IndexSelectBack...         0.00%      47.038us         0.00%     530.169us     106.034us       0.000us         0.00%     751.513us     150.303us           0 b           0 b      47.06 Mb     -85.13 Mb             5
                                   IndexSelectBackward0         0.00%      17.143us         0.00%     483.131us      96.626us       0.000us         0.00%     751.513us     150.303us           0 b           0 b     132.19 Mb           0 b             5
                            aten::index_select_backward         0.00%      21.242us         0.00%     465.988us      93.198us       0.000us         0.00%     751.513us     150.303us           0 b           0 b     132.19 Mb           0 b             5
                              gd_residual/build_metrics         0.00%       0.000us         0.00%       0.000us       0.000us     629.467us         0.01%     629.467us     629.467us           0 b           0 b           0 b           0 b             1
                                            aten::index         0.01%       1.358ms         0.02%       2.419ms      43.986us     623.903us         0.01%     623.903us      11.344us           0 b           0 b      80.17 Mb      80.17 Mb            55
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     592.831us         0.01%     592.831us      11.624us           0 b           0 b           0 b           0 b            51
                            flashvqg/attn/phase2/reduce         0.00%     295.025us         0.02%       2.428ms       2.428ms       0.000us         0.00%     541.536us     541.536us           0 b           0 b      31.43 Mb      -3.02 Mb             1
                                     aten::index_select         0.00%     528.560us         0.42%      54.545ms       1.299ms     509.083us         0.01%     509.083us      12.121us           0 b           0 b      86.07 Mb           0 b            42
                                       aten::index_add_         0.00%      74.764us         0.00%     335.088us      67.018us     494.331us         0.01%     494.331us      98.866us           0 b           0 b           0 b           0 b             5
                                        aten::new_zeros         0.00%     116.060us         0.01%     909.040us      21.644us       0.000us         0.00%     475.098us      11.312us           0 b           0 b     215.39 Mb           0 b            42
                       flashvqg/attn/phase2/remote_path         0.00%     476.836us         0.14%      18.451ms      18.451ms       0.000us         0.00%     475.035us     475.035us           0 b           0 b      72.35 Mb      -4.38 Mb             1
       autograd::engine::evaluate_function: MmBackward0         0.00%      33.891us         0.04%       5.145ms       1.715ms       0.000us         0.00%     443.837us     147.946us           0 b           0 b     -21.58 Mb     -35.52 Mb             3
                                            MmBackward0         0.00%      82.266us         0.04%       5.111ms       1.704ms       0.000us         0.00%     443.837us     147.946us           0 b           0 b      13.94 Mb           0 b             3
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
Self CPU time total: 12.848s
Self CUDA time total: 4.304s
