machine,model,checkpoint_role,train_precision,eval_precision,shape,num_examples,n_seeds,accuracy_mean,accuracy_population_std
2080ti,flash,last,fp16,fp16,64x16,1000,3,0.9999583333333334,2.946278254942315e-05
2080ti,flash,last,fp16,fp16,64x4,1000,3,1.0,0.0
2080ti,flash,last,fp16,fp16,64x8,1000,3,1.0,0.0
2080ti,flash,last,fp16,fp16,8190x2047,500,3,0.07421657676063478,0.05070212981162976
2080ti,flash,last,fp16,fp16,8190x512,500,3,0.4966484375,0.12859726795005696
2080ti,flash,last,fp16,fp32,1024x256,500,3,0.9356770833333333,0.023160546242160258
2080ti,flash,last,fp16,fp32,1024x256,1000,3,0.9357994791666666,0.023608269438436653
2080ti,flash,last,fp16,fp32,128x32,1000,3,0.99603125,0.000984250984251462
2080ti,flash,last,fp16,fp32,2048x512,500,3,0.6561901041666667,0.08801992458619284
2080ti,flash,last,fp16,fp32,256x64,1000,3,0.9976197916666667,0.001212009494141423
2080ti,flash,last,fp16,fp32,4096x1024,500,3,0.265140625,0.11110811580265771
2080ti,flash,last,fp16,fp32,512x128,1000,3,0.9921171875,0.004545536923673516
2080ti,flash,last,fp16,fp32,512x64,1000,3,0.992765625,0.00245440187044965
2080ti,flash,last,fp16,fp32,64x16,1000,3,0.9999583333333334,2.946278254942315e-05
2080ti,flash,last,fp16,fp32,64x4,1000,3,1.0,0.0
2080ti,flash,last,fp16,fp32,64x8,1000,3,1.0,0.0
2080ti,flash,last,fp16,fp32,8190x2047,500,3,0.07416186256334185,0.05064186916726702
2080ti,flash,last,fp16,fp32,8190x512,500,3,0.4965234375,0.128467264362153
2080ti,flash,last,fp32,fp16,1024x256,500,3,0.9602005208333333,0.02201921614065276
2080ti,flash,last,fp32,fp16,1024x256,1000,3,0.9601692708333334,0.02204988899539408
2080ti,flash,last,fp32,fp16,128x32,1000,3,0.99696875,0.0005303300858899308
2080ti,flash,last,fp32,fp16,2048x512,500,3,0.71108984375,0.1361736866990784
2080ti,flash,last,fp32,fp16,256x64,1000,3,0.998515625,0.00014490028899212586
2080ti,flash,last,fp32,fp16,4096x1024,500,3,0.3145338541666667,0.14838071947466006
2080ti,flash,last,fp32,fp16,512x128,1000,3,0.9969791666666666,0.0015768653870209379
2080ti,flash,last,fp32,fp16,512x64,1000,3,0.9944427083333334,0.0005671585640767152
2080ti,flash,last,fp32,fp16,64x16,1000,3,0.9999583333333334,2.946278254942315e-05
2080ti,flash,last,fp32,fp16,64x4,1000,3,0.9999166666666667,0.00011785113019774494
2080ti,flash,last,fp32,fp16,64x8,1000,3,0.9999166666666667,5.892556509889864e-05
