experiment_id,machine,target,train_step,warmup_start_optimizer_step,warmup_end_optimizer_step,warmup_start_train_forward_step,warmup_end_train_forward_step,warmup_eval_policy,factor_mean,factor_layer0,factor_layer1,inject_ratio_mean,inject_ratio_layer0,inject_ratio_layer1,lambda_mean,loss
20260702-03-flash-vqg-injection-warmup-screen,3090,inj-warmup-silent64-linear512-r2,16,64,512,256,2048,scheduled,0.0,,0.0,0.0,,0.0,0.050224121659994125,9.036585807800293
20260702-03-flash-vqg-injection-warmup-screen,3090,inj-warmup-silent64-linear512-r2,24,64,512,256,2048,scheduled,0.0,,0.0,0.0,,0.0,0.050336405634880066,9.028125762939453
20260702-03-flash-vqg-injection-warmup-screen,3090,inj-warmup-silent64-linear512-r2,32,64,512,256,2048,scheduled,0.0,,0.0,0.0,,0.0,0.05044883117079735,9.011553764343262
20260702-03-flash-vqg-injection-warmup-screen,3090,inj-warmup-silent64-linear512-r2,48,64,512,256,2048,scheduled,0.0,,0.0,0.0,,0.0,0.050674136728048325,8.906110763549805
20260702-03-flash-vqg-injection-warmup-screen,3090,inj-warmup-silent64-linear512-r2,64,64,512,256,2048,scheduled,0.0,,0.0,0.0,,0.0,0.050900038331747055,8.702651977539062
20260702-03-flash-vqg-injection-warmup-screen,3090,inj-warmup-silent64-linear512-r2,96,64,512,256,2048,scheduled,0.0714285746216774,,0.0714285746216774,0.00898057036101818,,0.00898057036101818,0.020933203399181366,8.528587341308594
20260702-03-flash-vqg-injection-warmup-screen,3090,inj-warmup-silent64-linear512-r2,128,64,512,256,2048,scheduled,0.1428571492433548,,0.1428571492433548,0.04070240631699562,,0.04070240631699562,0.01513337530195713,8.464591979980469
20260702-03-flash-vqg-injection-warmup-screen,3090,inj-warmup-silent64-linear512-r2,192,64,512,256,2048,scheduled,0.2857142984867096,,0.2857142984867096,0.6068097352981567,,0.6068097352981567,0.4740283787250519,8.411492347717285
20260702-03-flash-vqg-injection-warmup-screen,3090,inj-warmup-silent64-linear512-r2,256,64,512,256,2048,scheduled,0.4285714328289032,,0.4285714328289032,1.4809651374816895,,1.4809651374816895,0.48681288957595825,8.365906715393066
20260702-03-flash-vqg-injection-warmup-screen,3090,inj-warmup-silent64-linear512-r2,384,64,512,256,2048,scheduled,0.7142857313156128,,0.7142857313156128,0.34502434730529785,,0.34502434730529785,0.20135775208473206,2.7563600540161133
20260702-03-flash-vqg-injection-warmup-screen,3090,inj-warmup-silent64-linear512-r2,512,64,512,256,2048,scheduled,1.0,,1.0,0.3279734253883362,,0.3279734253883362,0.1341496706008911,1.7259025573730469
20260702-03-flash-vqg-injection-warmup-screen,3090,inj-warmup-silent64-linear512-r2,704,64,512,256,2048,scheduled,1.0,,1.0,0.28687986731529236,,0.28687986731529236,0.126002699136734,1.4401098489761353
